COUNTYNAME,TOWNNAME,TOWNCODE,AREA,POPULARITY,人口密度
南投縣,仁愛鄉,10008130,1273.53 ,15410.00 ,12.10 
雲林縣,斗六市,10009010,93.72 ,109082.00 ,1163.97 
雲林縣,斗南鎮,10009020,48.15 ,43509.00 ,903.60 
雲林縣,虎尾鎮,10009030,68.74 ,70904.00 ,1031.45 
雲林縣,西螺鎮,10009040,49.80 ,44313.00 ,889.85 
雲林縣,土庫鎮,10009050,49.02 ,27361.00 ,558.15 
雲林縣,北港鎮,10009060,41.50 ,37512.00 ,903.91 
雲林縣,古坑鄉,10009070,166.61 ,29554.00 ,177.39 
雲林縣,大埤鄉,10009080,45.00 ,17794.00 ,395.45 
雲林縣,莿桐鄉,10009090,50.85 ,27450.00 ,539.82 
雲林縣,林內鄉,10009100,37.60 ,16572.00 ,440.70 
雲林縣,二崙鄉,10009110,59.56 ,24642.00 ,413.72 
雲林縣,崙背鄉,10009120,58.48 ,22599.00 ,386.41 
雲林縣,麥寮鄉,10009130,80.17 ,50001.00 ,623.71 
雲林縣,東勢鄉,10009140,48.36 ,13197.00 ,272.91 
雲林縣,褒忠鄉,10009150,37.06 ,11777.00 ,317.82 
雲林縣,臺西鄉,10009160,54.10 ,21424.00 ,396.02 
雲林縣,元長鄉,10009170,71.59 ,23020.00 ,321.57 
雲林縣,四湖鄉,10009180,77.12 ,20698.00 ,268.39 
雲林縣,口湖鄉,10009190,80.46 ,24592.00 ,305.64 
雲林縣,水林鄉,10009200,72.96 ,22426.00 ,307.38 
嘉義縣,太保市,10010010,66.90 ,39342.00 ,588.10 
嘉義縣,朴子市,10010020,49.57 ,40409.00 ,815.13 
嘉義縣,布袋鎮,10010030,61.73 ,24121.00 ,390.75 
嘉義縣,大林鎮,10010040,64.17 ,29610.00 ,461.46 
嘉義縣,民雄鄉,10010050,85.50 ,69923.00 ,817.84 
嘉義縣,溪口鄉,10010060,33.05 ,12944.00 ,391.69 
嘉義縣,新港鄉,10010070,66.05 ,29617.00 ,448.41 
嘉義縣,六腳鄉,10010080,62.26 ,20497.00 ,329.21 
嘉義縣,東石鄉,10010090,81.58 ,22201.00 ,272.13 
嘉義縣,義竹鄉,10010100,79.29 ,16163.00 ,203.84 
嘉義縣,鹿草鄉,10010110,54.32 ,13891.00 ,255.75 
嘉義縣,水上鄉,10010120,69.12 ,47366.00 ,685.27 
嘉義縣,中埔鄉,10010130,129.50 ,42190.00 ,325.79 
嘉義縣,竹崎鄉,10010140,162.23 ,32759.00 ,201.93 
嘉義縣,梅山鄉,10010150,119.76 ,17497.00 ,146.10 
嘉義縣,番路鄉,10010160,117.53 ,10697.00 ,91.02 
嘉義縣,大埔鄉,10010170,173.25 ,4323.00 ,24.95 
嘉義縣,阿里山鄉,10010180,427.85 ,5236.00 ,12.24 
屏東縣,屏東市,10013010,65.07 ,192657.00 ,2960.90 
屏東縣,潮州鎮,10013020,42.43 ,53575.00 ,1262.58 
屏東縣,東港鎮,10013030,29.46 ,45936.00 ,1559.08 
屏東縣,恆春鎮,10013040,136.76 ,29375.00 ,214.79 
屏東縣,萬丹鄉,10013050,57.47 ,48946.00 ,851.71 
屏東縣,長治鄉,10013060,39.89 ,29229.00 ,732.81 
屏東縣,麟洛鄉,10013070,16.26 ,10483.00 ,644.71 
屏東縣,九如鄉,10013080,42.02 ,21552.00 ,512.91 
屏東縣,里港鄉,10013090,68.92 ,25347.00 ,367.77 
屏東縣,鹽埔鄉,10013100,64.35 ,23529.00 ,365.65 
屏東縣,高樹鄉,10013110,90.15 ,22336.00 ,247.76 
屏東縣,萬巒鄉,10013120,60.73 ,19010.00 ,313.02 
屏東縣,內埔鄉,10013130,81.86 ,52646.00 ,643.16 
屏東縣,竹田鄉,10013140,29.07 ,15581.00 ,535.92 
屏東縣,新埤鄉,10013150,59.01 ,9177.00 ,155.52 
屏東縣,枋寮鄉,10013160,57.73 ,22593.00 ,391.32 
屏東縣,新園鄉,10013170,38.31 ,32198.00 ,840.44 
屏東縣,崁頂鄉,10013180,31.27 ,14932.00 ,477.58 
屏東縣,林邊鄉,10013190,15.62 ,16087.00 ,1029.68 
屏東縣,南州鄉,10013200,18.97 ,9698.00 ,511.23 
屏東縣,佳冬鄉,10013210,30.98 ,17591.00 ,567.74 
屏東縣,琉球鄉,10013220,6.80 ,12190.00 ,1792.17 
屏東縣,車城鄉,10013230,49.85 ,7842.00 ,157.31 
屏東縣,滿州鄉,10013240,142.20 ,7063.00 ,49.67 
屏東縣,枋山鄉,10013250,17.27 ,4966.00 ,287.56 
屏東縣,三地門鄉,10013260,196.40 ,7683.00 ,39.12 
屏東縣,霧臺鄉,10013270,278.80 ,3235.00 ,11.60 
屏東縣,瑪家鄉,10013280,78.70 ,6696.00 ,85.08 
屏東縣,泰武鄉,10013290,118.63 ,5259.00 ,44.33 
